dataset,tuning,metric,model,error_rate,bias
implicit30,True,demographic_parity,FairnessConstraintModel_tuned,36.6952,2.9201
implicit30,True,demographic_parity,DisparateMistreatmentModel_tuned,32.9536,16.4551
implicit30,True,demographic_parity,ConvexFrameworkModel_tuned,33.1156,15.9575
implicit30,True,demographic_parity,HSICLinearRegression_tuned,48.8293,0.0
implicit30,True,demographic_parity,GerryFairClassifier_tuned,47.1364,6.1642
implicit30,True,demographic_parity,AdversarialDebiasing_tuned,32.8455,4.9342
implicit30,True,demographic_parity,ExponentiatedGradientReduction_tuned,31.8954,0.8271
implicit30,True,demographic_parity,GridSearchReduction_tuned,31.9721,2.8843
implicit30,True,demographic_parity,MetaFairClassifier_tuned,45.3894,11.292800000000002
implicit30,True,demographic_parity,AdaFair_tuned,33.0077,37.0455
implicit30,True,demographic_parity,FAGTB_tuned,37.3976,2.4487
implicit30,True,demographic_parity,HGR_tuned,37.5911,5.0564
implicit30,True,demographic_parity,FairDummies_tuned,45.8352,1.0765
implicit30,True,demographic_parity,GeneralFairERM_tuned,44.0972,4.5504
implicit30,True,demographic_parity,MultiAdversarialDebiasing_tuned,38.1,0.4043
implicit30,True,demographic_parity,FairGeneralizedLinearModel_tuned,42.742,11.0342
implicit30,True,demographic_parity,GradualCompatibility_tuned,48.7122,0.1843
implicit30,True,demographic_parity,RejectOptionClassification_tuned,32.0666,2.7195
implicit30,True,demographic_parity,EqOddsPostprocessing_tuned,38.7527,6.983499999999999
implicit30,True,demographic_parity,CalibratedEqOddsPostprocessing_tuned,26.4114,57.5552
implicit30,True,demographic_parity,JiangNachum_tuned,35.7857,0.5685
implicit30,True,demographic_parity,DPAbstention_tuned,32.6024,0.6579
implicit30,True,demographic_parity,FaX_tuned,26.3935,52.9704
implicit30,True,demographic_parity,FairBayesDPP_tuned,32.2243,38.9292
implicit30,True,demographic_parity,GetFair_tuned,32.4584,26.4982
implicit40,True,demographic_parity,Reweighing_tuned,30.8067,17.478
implicit40,True,demographic_parity,LFR_tuned,34.055800000000005,5.454700000000001
implicit40,True,demographic_parity,DisparateImpactRemover_tuned,25.8442,76.0441
implicit40,True,demographic_parity,Fair-SMOTE_tuned,29.4069,24.7145
implicit40,True,demographic_parity,FairSSL-CT_tuned,32.4881,7.2825
implicit40,True,demographic_parity,FairSSL-LP_tuned,32.3381,5.6254
implicit40,True,demographic_parity,FairSSL-LS_tuned,32.4426,5.6395
implicit40,True,demographic_parity,FairSSL-ST_tuned,31.0792,16.8924
implicit40,True,demographic_parity,LTDD_tuned,32.8016,3.5815
implicit40,True,demographic_parity,PrejudiceRemover_tuned,37.7233,0.9859000000000002
implicit40,True,demographic_parity,SquaredDifferenceFairLogistic_tuned,32.1064,13.3011
implicit40,True,demographic_parity,FairnessConstraintModel_tuned,33.7015,7.9134
implicit40,True,demographic_parity,DisparateMistreatmentModel_tuned,31.3746,19.5973
implicit40,True,demographic_parity,ConvexFrameworkModel_tuned,32.1245,13.5745
implicit40,True,demographic_parity,HSICLinearRegression_tuned,49.2298,3.6246
implicit40,True,demographic_parity,GerryFairClassifier_tuned,48.1617,3.6075
implicit40,True,demographic_parity,AdversarialDebiasing_tuned,30.0931,21.3343
implicit40,True,demographic_parity,ExponentiatedGradientReduction_tuned,33.4243,1.5269
implicit40,True,demographic_parity,GridSearchReduction_tuned,30.9157,17.951
implicit40,True,demographic_parity,MetaFairClassifier_tuned,45.9623,8.735299999999999
implicit40,True,demographic_parity,AdaFair_tuned,31.7654,49.4375
implicit40,True,demographic_parity,FAGTB_tuned,37.2189,0.7353
implicit40,True,demographic_parity,HGR_tuned,39.6591,3.9089
implicit40,True,demographic_parity,FairDummies_tuned,40.4817,2.5808
implicit40,True,demographic_parity,GeneralFairERM_tuned,44.21730000000001,4.545
implicit40,True,demographic_parity,MultiAdversarialDebiasing_tuned,36.4916,0.9502
implicit40,True,demographic_parity,FairGeneralizedLinearModel_tuned,40.259,18.274800000000003
