metric,dataset,model,binarize,ignore,error_rate,bias,max_bias_gap
equalized_odds,social30,Reweighing,False,False,29.276090431605382,1.5375835145980177,
equalized_odds,social30,LFR,False,False,48.6412422927609,2.651967012907241,
equalized_odds,social30,PFR,False,False,26.9467915049098,30.8666798113499,
equalized_odds,social30,FairRR,False,False,27.49486184060288,11.30188193871972,
equalized_odds,social30,ExponentiatedGradientReduction,False,False,44.62205983101165,3.050476053955684,
equalized_odds,social30,GridSearchReduction,False,False,31.17150034254396,10.874076658212692,
equalized_odds,social30,FAGTB,False,False,38.06805206668189,2.796253365294399,
equalized_odds,social30,RejectOptionClassification,False,False,28.40831240009134,5.2595198482213865,
equalized_odds,social30,EqOddsPostprocessing,False,False,36.3324960036538,1.0538810686992806,
equalized_odds,social30,CalibratedEqOddsPostprocessing,False,False,26.83261018497374,30.63047560854561,
equalized_odds,social30,LevEqOpp,False,False,28.97921899977164,0.7156332420395456,
equalized_odds,social30,JiangNachum,False,False,30.02968714318337,0.8189668536528014,
equalized_odds,credit_card_clients,Reweighing,False,True,19.52222222222222,1.0911362740285937,
equalized_odds,credit_card_clients,LFR,False,True,23.033333333333328,0.0,
equalized_odds,credit_card_clients,PFR,False,True,19.566666666666663,0.6153689708758471,
equalized_odds,credit_card_clients,FairRR,False,True,19.55555555555556,1.175142110035894,
equalized_odds,credit_card_clients,ExponentiatedGradientReduction,False,True,19.55555555555556,1.175142110035894,
equalized_odds,credit_card_clients,GridSearchReduction,False,True,19.55555555555556,1.175142110035894,
equalized_odds,credit_card_clients,FAGTB,False,True,18.633333333333336,2.717243431915956,
equalized_odds,credit_card_clients,RejectOptionClassification,False,True,24.944444444444446,1.774927685909064,
equalized_odds,credit_card_clients,EqOddsPostprocessing,False,True,19.711111111111112,0.9927527390190624,
equalized_odds,credit_card_clients,CalibratedEqOddsPostprocessing,False,True,20.12222222222222,9.00215657490402,
equalized_odds,credit_card_clients,LevEqOpp,False,True,19.54444444444444,4.662385056088427,
equalized_odds,credit_card_clients,JiangNachum,False,True,18.899999999999995,0.7210209193514159,
