,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
180,equalized_odds,communities,Fair-SMOTE,1.0017,-8.7087,-3.8535
181,equalized_odds,communities,FairSSL-LS,3.005,6.5547,4.7799
182,equalized_odds,communities,FairSSL-CT,4.3406,5.5769,4.9587
183,equalized_odds,communities,FairSSL-LP,3.172,3.0587,3.1153
184,equalized_odds,communities,FairSSL-ST,2.6711,2.0554,2.3633
185,equalized_odds,communities,GridSearchReduction,2.1703,9.0611,5.6157
186,equalized_odds,communities,ExponentiatedGradientReduction,0.3339,-0.6679,-0.167
187,equalized_odds,communities,FAGTB,1.3356,-2.119,-0.3917
188,equalized_odds,communities,RejectOptionClassification,8.8481,0.671,4.7595
189,equalized_odds,communities,EqOddsPostprocessing,6.5109,0.8071,3.659
190,equalized_odds,communities,CalibratedEqOddsPostprocessing,-0.3339,2.7572,1.2116
191,equalized_odds,communities,JiangNachum,-4.5075,-4.3614,-4.4345
192,equalized_odds,compas_race,LFR,4.8056,-1.504,1.6508
193,equalized_odds,compas_race,Reweighing,-0.486,-15.2849,-7.8854
194,equalized_odds,compas_race,Fair-SMOTE,-0.432,-12.8316,-6.6318
195,equalized_odds,compas_race,FairSSL-LS,-0.432,-16.8972,-8.6646
196,equalized_odds,compas_race,FairSSL-CT,0.0,-19.5069,-9.7535
197,equalized_odds,compas_race,FairSSL-LP,-0.432,-16.1325,-8.2823
198,equalized_odds,compas_race,FairSSL-ST,-0.486,-16.0909,-8.2884
199,equalized_odds,compas_race,GridSearchReduction,-12.149,14.6609,1.2559
200,equalized_odds,compas_race,ExponentiatedGradientReduction,-12.203,-4.008,-8.1055
201,equalized_odds,compas_race,FAGTB,-1.4039,-12.3801,-6.892
202,equalized_odds,compas_race,RejectOptionClassification,0.432,0.5017,0.4668
203,equalized_odds,compas_race,EqOddsPostprocessing,-1.4039,2.1791,0.3876
204,equalized_odds,compas_race,CalibratedEqOddsPostprocessing,0.324,3.905,2.1145
205,equalized_odds,compas_race,JiangNachum,-11.0151,0.2112,-5.402
206,equalized_odds,german,Reweighing,0.0,0.0,0.0
207,equalized_odds,german,Fair-SMOTE,-0.3333,5.4125,2.5396
208,equalized_odds,german,FairSSL-LS,-1.0,-5.961,-3.4805
209,equalized_odds,german,FairSSL-CT,0.0,4.4345,2.2173
210,equalized_odds,german,FairSSL-LP,-0.3333,-4.5356,-2.4345
211,equalized_odds,german,FairSSL-ST,1.0,-5.1961,-2.0981
212,equalized_odds,german,GridSearchReduction,0.0,0.0,0.0
213,equalized_odds,german,ExponentiatedGradientReduction,0.0,1.4254,0.7127
214,equalized_odds,german,FAGTB,0.0,1.6947,0.8473
215,equalized_odds,german,RejectOptionClassification,-28.3333,1.0021,-13.6656
