,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
166,demographic_parity,social40,CalibratedEqOddsPostprocessing_tuned,-7.9195,54.2711,23.1758
167,demographic_parity,social40,JiangNachum_tuned,4.3848,-0.3075,2.0386
168,demographic_parity,social50,LFR_tuned,0.2493,-0.5534,-0.1521
169,demographic_parity,social50,Reweighing_tuned,-5.2572,23.6515,9.1972
170,demographic_parity,social50,Fair-SMOTE_tuned,-0.0906,0.4488,0.1791
171,demographic_parity,social50,FairSSL-LS_tuned,0.0,0.0,0.0
172,demographic_parity,social50,FairSSL-CT_tuned,-0.068,-0.2288,-0.1484
173,demographic_parity,social50,FairSSL-LP_tuned,0.0,0.0,0.0
174,demographic_parity,social50,FairSSL-ST_tuned,-0.1133,0.3144,0.1005
175,demographic_parity,social50,GridSearchReduction_tuned,0.0,0.0,0.0
176,demographic_parity,social50,ExponentiatedGradientReduction_tuned,0.068,-0.1293,-0.0307
177,demographic_parity,social50,FAGTB_tuned,0.136,2.6839,1.41
178,demographic_parity,social50,RejectOptionClassification_tuned,-2.1301,6.1601,2.015
179,demographic_parity,social50,EqOddsPostprocessing_tuned,7.7952,-11.4659,-1.8354
180,demographic_parity,social50,CalibratedEqOddsPostprocessing_tuned,-9.676,66.406,28.365
181,demographic_parity,social50,JiangNachum_tuned,7.206,-1.5729,2.8165
182,equalized_odds,communities,LFR_tuned,-2.1703,-0.2797,-1.225
183,equalized_odds,communities,Reweighing_tuned,0.8347,-5.614,-2.3896
184,equalized_odds,communities,Fair-SMOTE_tuned,2.0033,-0.9431,0.5301
185,equalized_odds,communities,FairSSL-LS_tuned,0.0,0.0,0.0
186,equalized_odds,communities,FairSSL-CT_tuned,-2.6711,-1.3398,-2.0054
187,equalized_odds,communities,FairSSL-LP_tuned,0.0,0.0,0.0
188,equalized_odds,communities,FairSSL-ST_tuned,0.0,0.0,0.0
189,equalized_odds,communities,GridSearchReduction_tuned,0.0,0.0,0.0
190,equalized_odds,communities,ExponentiatedGradientReduction_tuned,-0.5008,1.0231,0.2611
191,equalized_odds,communities,FAGTB_tuned,0.1669,-2.964,-1.3985
192,equalized_odds,communities,RejectOptionClassification_tuned,2.5042,0.6121,1.5581
193,equalized_odds,communities,EqOddsPostprocessing_tuned,1.3356,1.4845,1.41
194,equalized_odds,communities,CalibratedEqOddsPostprocessing_tuned,-1.0017,12.536,5.7671
195,equalized_odds,communities,JiangNachum_tuned,-1.6694,0.5105,-0.5795
196,equalized_odds,compas_race,LFR_tuned,1.1879,-2.4888,-0.6504
197,equalized_odds,compas_race,Reweighing_tuned,-0.486,-15.2849,-7.8854
198,equalized_odds,compas_race,Fair-SMOTE_tuned,-0.378,-5.2561,-2.817
199,equalized_odds,compas_race,FairSSL-LS_tuned,-0.594,-0.9766,-0.7853
200,equalized_odds,compas_race,FairSSL-CT_tuned,-0.27,-0.348,-0.309
201,equalized_odds,compas_race,FairSSL-LP_tuned,0.0,-1.0152,-0.5076
202,equalized_odds,compas_race,FairSSL-ST_tuned,0.054,-2.5356,-1.2408
203,equalized_odds,compas_race,GridSearchReduction_tuned,0.0,0.0,0.0
204,equalized_odds,compas_race,ExponentiatedGradientReduction_tuned,-0.216,-0.1896,-0.2028
205,equalized_odds,compas_race,FAGTB_tuned,-12.689,0.7854,-5.9518
206,equalized_odds,compas_race,RejectOptionClassification_tuned,0.324,0.5098,0.4169
207,equalized_odds,compas_race,EqOddsPostprocessing_tuned,-0.216,-0.5424,-0.3792
208,equalized_odds,compas_race,CalibratedEqOddsPostprocessing_tuned,-1.2419,-2.6281,-1.935
209,equalized_odds,compas_race,JiangNachum_tuned,-11.1771,0.6174,-5.2798
210,equalized_odds,german,LFR_tuned,0.0,0.0,0.0
211,equalized_odds,german,Reweighing_tuned,0.0,0.0,0.0
212,equalized_odds,german,Fair-SMOTE_tuned,-0.6667,4.0734,1.7034
213,equalized_odds,german,FairSSL-LS_tuned,0.0,0.0,0.0
214,equalized_odds,german,FairSSL-CT_tuned,0.6667,-9.5772,-4.4552
215,equalized_odds,german,FairSSL-LP_tuned,-1.6667,-2.5297,-2.0982
216,equalized_odds,german,FairSSL-ST_tuned,-0.3333,-5.1956,-2.7645
